SubmissionDate,start,today,cluster,village,house_num,age,sex,time_in,time_out,notes,note_final,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-11-30T16:10:34.995Z,2023-11-30T07:42:27.518Z,30/11/2023,orangogrande,OrGr_eticoga,5,10,male,22:00:00.000Z,07:01:00.000Z,Nada,,uuid:8f0d8edb-46b2-402d-bd68-bb2136b11c97,uuid:8f0d8edb-46b2-402d-bd68-bb2136b11c97,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:34.374Z,2023-11-30T07:40:37.780Z,30/11/2023,orangogrande,OrGr_eticoga,5,8,female,22:00:00.000Z,06:04:00.000Z,Nada,,uuid:297a1d08-2822-41b3-957e-187c56c8547e,uuid:297a1d08-2822-41b3-957e-187c56c8547e,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:33.801Z,2023-11-30T07:38:33.456Z,30/11/2023,orangogrande,OrGr_eticoga,5,30,female,22:00:00.000Z,06:09:00.000Z,Nada,,uuid:14f7000f-787d-4eaa-9e75-2d28244cc626,uuid:14f7000f-787d-4eaa-9e75-2d28244cc626,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:33.185Z,2023-11-29T08:22:03.063Z,29/11/2023,orangogrande,OrGr_eticoga,4,6,male,20:45:00.000Z,07:00:00.000Z,Depus de 07hora ,,uuid:92de4bc8-d489-4fc0-8dce-3206c0cb9f55,uuid:92de4bc8-d489-4fc0-8dce-3206c0cb9f55,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:32.545Z,2023-11-29T08:19:13.817Z,29/11/2023,orangogrande,OrGr_eticoga,4,26,female,22:00:00.000Z,06:45:00.000Z,,,uuid:ddef8616-1e14-4fb5-a170-c47ed32bd303,uuid:ddef8616-1e14-4fb5-a170-c47ed32bd303,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:31.979Z,2023-11-29T08:16:57.587Z,29/11/2023,orangogrande,OrGr_eticoga,4,36,male,20:00:00.000Z,07:02:00.000Z,Depus de 07hora ,,uuid:f6d1e8dc-92cf-4803-adcd-ba8199b39ce8,uuid:f6d1e8dc-92cf-4803-adcd-ba8199b39ce8,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:31.363Z,2023-11-29T08:14:01.206Z,29/11/2023,orangogrande,OrGr_eticoga,1,8,male,21:12:00.000Z,07:00:00.000Z,,,uuid:25e6dd0e-d972-4795-93f0-78c3857187cb,uuid:25e6dd0e-d972-4795-93f0-78c3857187cb,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:30.678Z,2023-11-29T08:12:28.341Z,29/11/2023,orangogrande,OrGr_eticoga,1,14,male,21:12:00.000Z,21:12:00.000Z,,,uuid:d01a8537-7a68-48c0-9248-3b801d6da419,uuid:d01a8537-7a68-48c0-9248-3b801d6da419,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:30.096Z,2023-11-29T08:10:41.845Z,29/11/2023,orangogrande,OrGr_eticoga,1,26,female,21:55:00.000Z,07:04:00.000Z,,,uuid:77f664e9-4e7e-4511-a13f-f8c1e7a80f44,uuid:77f664e9-4e7e-4511-a13f-f8c1e7a80f44,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
2023-11-30T16:10:29.510Z,2023-11-29T08:07:11.504Z,29/11/2023,orangogrande,OrGr_eticoga,1,35,male,22:00:00.000Z,06:50:00.000Z,,,uuid:0975a3f5-1891-43ab-a313-e0ab98999464,uuid:0975a3f5-1891-43ab-a313-e0ab98999464,704,Assistente,1,1,,,collect:er91NR52R8aKmaRf,0,24102023[encrypted:AYulh4LQ]
