"date_of_collection","house","location","AnophelesF","segment2","period","island","duration"
2023-11-13,1,"inside",0,"19_22","evening","Bubaque","3"
2023-11-13,1,"inside",1,"22_07","night","Bubaque","9"
2023-11-13,1,"outside",3,"01_04","night","Bubaque","3"
2023-11-13,1,"outside",1,"04_07","night","Bubaque","3"
2023-11-13,1,"outside",0,"07_10","day","Bubaque","3"
2023-11-13,1,"outside",0,"18_19","day","Bubaque","1"
2023-11-13,1,"outside",0,"19_22","evening","Bubaque","3"
2023-11-13,2,"inside",3,"19_22","evening","Bubaque","3"
2023-11-13,2,"outside",0,"01_04","night","Bubaque","3"
2023-11-13,2,"outside",0,"04_07","night","Bubaque","3"
2023-11-13,2,"outside",0,"07_10","day","Bubaque","3"
2023-11-13,2,"outside",0,"17_19","day","Bubaque","2"
2023-11-13,2,"outside",0,"19_22","evening","Bubaque","3"
2023-11-13,2,"outside",6,"22_01","night","Bubaque","3"
2023-11-13,4,"inside",1,"19_22","evening","Bubaque","3"
2023-11-13,4,"inside",9,"22_07","night","Bubaque","9"
2023-11-13,5,"inside",1,"19_22","evening","Bubaque","3"
2023-11-13,5,"inside",2,"22_07","night","Bubaque","9"
2023-11-14,1,"inside",0,"19_22","evening","Bubaque","3"
2023-11-14,1,"inside",1,"22_07","night","Bubaque","9"
2023-11-14,1,"outside",0,"01_04","night","Bubaque","3"
2023-11-14,1,"outside",0,"04_07","night","Bubaque","3"
2023-11-14,1,"outside",0,"07_10","day","Bubaque","3"
2023-11-14,1,"outside",0,"17_19","day","Bubaque","2"
2023-11-14,1,"outside",0,"19_22","evening","Bubaque","3"
2023-11-14,2,"inside",0,"19_22","evening","Bubaque","3"
2023-11-14,2,"inside",1,"22_07","night","Bubaque","9"
2023-11-14,2,"outside",0,"01_04","night","Bubaque","3"
2023-11-14,2,"outside",0,"04_07","night","Bubaque","3"
2023-11-14,2,"outside",0,"07_10","day","Bubaque","3"
2023-11-14,2,"outside",0,"19_22","evening","Bubaque","3"
2023-11-14,2,"outside",0,"22_01","night","Bubaque","3"
2023-11-14,3,"inside",0,"19_22","evening","Bubaque","3"
2023-11-14,3,"inside",0,"22_07","night","Bubaque","9"
2023-11-14,4,"inside",0,"19_22","evening","Bubaque","3"
2023-11-14,4,"inside",1,"22_07","night","Bubaque","9"
2023-11-14,5,"inside",0,"19_22","evening","Bubaque","3"
2023-11-14,5,"inside",0,"22_07","night","Bubaque","9"
2023-11-19,1,"outside",20,"04_07","night","Canhabaque","3"
2023-11-19,1,"outside",1,"07_10","day","Canhabaque","3"
2023-11-19,1,"outside",1,"21_22","evening","Canhabaque","1"
2023-11-19,2,"outside",0,"01_04","night","Canhabaque","3"
2023-11-19,2,"outside",6,"04_07","night","Canhabaque","3"
2023-11-19,2,"outside",0,"07_10","day","Canhabaque","3"
2023-11-19,2,"outside",0,"19_20","evening","Canhabaque","1"
2023-11-19,2,"outside",0,"20_21","evening","Canhabaque","1"
2023-11-19,2,"outside",7,"22_01","night","Canhabaque","3"
2023-11-19,2,"outside",15,"22_01","night","Canhabaque","3"
2023-11-20,1,"inside",6,"19_22","evening","Canhabaque","3"
2023-11-20,1,"inside",0,"19_22","evening","Canhabaque","3"
2023-11-20,1,"inside",0,"22_07","night","Canhabaque","9"
2023-11-20,1,"outside",6,"01_04","night","Canhabaque","3"
2023-11-20,1,"outside",25,"01_04","night","Canhabaque","3"
2023-11-20,1,"outside",28,"22_01","night","Canhabaque","3"
