"","cluster","age","time_in","time_out","notes","age_group","time_in_clean","time_out_clean"
"1","orangogrande",10,22:00:00,07:01:00,"Nada","5_14",22:00:00,07:01:00
"2","orangogrande",8,22:00:00,06:04:00,"Nada","5_14",22:00:00,06:04:00
"3","orangogrande",30,22:00:00,06:09:00,"Nada","15_plus",22:00:00,06:09:00
"4","orangogrande",6,20:45:00,07:00:00,"Depus de 07hora ","5_14",20:45:00,07:00:00
"5","orangogrande",26,22:00:00,06:45:00,"","15_plus",22:00:00,06:45:00
"6","orangogrande",36,20:00:00,07:02:00,"Depus de 07hora ","15_plus",20:00:00,07:02:00
"7","orangogrande",8,21:12:00,07:00:00,"","5_14",21:12:00,07:00:00
"9","orangogrande",26,21:55:00,07:04:00,"","15_plus",21:55:00,07:04:00
"10","orangogrande",35,22:00:00,06:50:00,"","15_plus",22:00:00,06:50:00
"11","orangogrande",15,21:30:00,07:05:00,"Nada","15_plus",21:30:00,07:05:00
"12","orangogrande",22,21:22:00,06:40:00,"Nada","15_plus",21:22:00,06:40:00
"13","orangogrande",75,08:44:00,07:03:00,"Nada","15_plus",20:44:00,07:03:00
"14","canogo",2,20:00:00,07:03:00,"Antis de 20:00","0_4",20:00:00,07:03:00
"15","canogo",9,20:00:00,07:01:00,"Antis 20:00","5_14",20:00:00,07:01:00
"16","canogo",38,21:33:00,06:35:00,"","15_plus",21:33:00,06:35:00
"17","canogo",37,22:00:00,06:38:00,"De pois de 22:00","15_plus",22:00:00,06:38:00
"18","canogo",16,22:00:00,07:00:00,"","15_plus",22:00:00,07:00:00
"19","canogo",45,22:00:00,07:05:00,"De pois de 22:00","15_plus",22:00:00,07:05:00
"20","canogo",28,22:00:00,06:45:00,"","15_plus",22:00:00,06:45:00
"21","canogo",75,21:40:00,06:35:00,"","15_plus",21:40:00,06:35:00
"22","canogo",60,20:50:00,06:35:00,"","15_plus",20:50:00,06:35:00
"23","canogo",9,21:20:00,07:00:00,"Depus de 07hora ","5_14",21:20:00,07:00:00
"24","canogo",8,20:53:00,07:00:00,"","5_14",20:53:00,07:00:00
