"t","inc05","prev","LLIN","sleeping_scenario"
0,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
1,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
2,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
3,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
4,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
5,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
6,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
7,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
8,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
9,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
10,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
11,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
12,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
13,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
14,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
15,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
16,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
17,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
18,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
19,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
20,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
21,0.00370032469060028,0.493463922871782,"Pyrethroid-only","Observed data (100%) on population in bed at night"
22,0.00370032468988402,0.493463922871629,"Pyrethroid-only","Observed data (100%) on population in bed at night"
23,0.00368747724447524,0.493461233192767,"Pyrethroid-only","Observed data (100%) on population in bed at night"
24,0.00363060054925011,0.493432739356923,"Pyrethroid-only","Observed data (100%) on population in bed at night"
25,0.00353103590805958,0.493344402123361,"Pyrethroid-only","Observed data (100%) on population in bed at night"
26,0.00339905411661707,0.493168326107354,"Pyrethroid-only","Observed data (100%) on population in bed at night"
27,0.00324434359074207,0.492884709270606,"Pyrethroid-only","Observed data (100%) on population in bed at night"
28,0.00307481935633747,0.492480607800779,"Pyrethroid-only","Observed data (100%) on population in bed at night"
29,0.002896739892119,0.491948474106384,"Pyrethroid-only","Observed data (100%) on population in bed at night"
30,0.00271498464690934,0.491284908069471,"Pyrethroid-only","Observed data (100%) on population in bed at night"
31,0.00253331153789491,0.4904896501336,"Pyrethroid-only","Observed data (100%) on population in bed at night"
32,0.00235457239437968,0.489564782325882,"Pyrethroid-only","Observed data (100%) on population in bed at night"
33,0.00218088954415291,0.488514098901834,"Pyrethroid-only","Observed data (100%) on population in bed at night"
34,0.0020137998800211,0.487342613203769,"Pyrethroid-only","Observed data (100%) on population in bed at night"
